Date,Close_Oil,High_Oil,Low_Oil,Open_Oil,Volume_Oil,Oil_Return,Close_USD,High_USD,Low_USD,Open_USD,Volume_USD,USDNGN_Return
2021-02-08,60.560001373291016,60.70000076293945,59.54999923706055,59.560001373291016,21098,0.0203510143716361,376.0,380.75,375.0,380.7000122070313,0,0.0026631174194836284
2021-02-09,61.09000015258789,61.27000045776367,60.040000915527344,60.63999938964844,31230,0.008713557353702227,376.0,380.75,375.0,380.7000122070313,0,0.0
2021-02-10,61.470001220703125,61.68000030517578,60.88999938964844,61.22999954223633,28344,0.0062010816180050905,376.0,380.75,375.0,380.7000122070313,0,0.0
2021-02-11,61.13999938964844,61.5,60.72999954223633,61.209999084472656,26169,-0.005382964297599755,376.0,380.75,375.0,380.7000122070313,0,0.0
2021-02-12,62.43000030517578,62.83000183105469,60.34000015258789,60.86000061035156,36933,0.02087962748210367,375.0,380.7000122070313,375.0,380.7000122070313,0,-0.002663117419483662
2021-02-16,63.34999847412109,63.810001373291016,62.68999862670898,62.77000045776367,65492,0.014628948718721209,380.6499938964844,380.75,380.6499938964844,380.6499938964844,0,0.0
2021-02-17,64.33999633789062,64.94999694824219,62.75,63.54999923706055,47339,0.015506582212135545,376.0,380.75,375.0,380.6499938964844,0,-0.01229115832787105
2021-02-18,63.93000030517578,65.48999786376953,63.22999954223633,64.87000274658203,43309,-0.0063927253405688935,376.0,380.6499938964844,375.0,380.6499938964844,0,0.0
2021-02-19,62.90999984741211,63.93000030517578,62.11000061035156,63.650001525878906,54254,-0.016083608395784883,375.0,380.75,376.0,380.6000061035156,0,-0.002663117419483662
2021-02-22,65.23999786376953,65.83999633789062,62.59000015258789,62.72999954223633,32173,0.0363676138521867,376.0,380.75,376.0,380.6000061035156,0,0.0026631174194836284
2021-02-23,65.37000274658203,66.79000091552734,64.4800033569336,65.66000366210938,34643,0.0019907346319477173,376.0,380.75,375.0,380.6000061035156,0,0.0
2021-02-24,67.04000091552734,67.29000091552734,64.80000305175781,65.2300033569336,27000,0.025225990189683894,375.0,380.75,375.0,380.6000061035156,0,-0.002663117419483662
2021-02-25,66.87999725341797,67.69999694824219,66.48999786376953,67.33999633789062,11746,-0.0023895421211313534,375.0,380.75,376.0,380.6000061035156,0,0.0
2021-02-26,66.12999725341797,66.87999725341797,65.69999694824219,66.70999908447266,42394,-0.011277467555631823,380.5799865722656,380.75,380.5799865722656,380.5799865722656,0,0.014770343621158252
2021-03-01,63.68999862670898,65.91000366210938,63.18000030517578,64.70999908447266,33869,-0.03759491733233798,380.5799865722656,380.75,380.5499877929688,380.5799865722656,0,0.0
2021-03-02,62.70000076293945,64.12999725341797,62.369998931884766,63.38999938964844,37996,-0.015666083014192145,376.0,380.5499877929688,380.5,380.5,0,-0.012107226201674409
2021-03-03,64.06999969482422,64.69999694824219,62.34000015258789,62.470001220703125,35401,0.021614771080799934,380.5,380.75,375.0,380.5,0,0.011897033911846064
2021-03-04,66.73999786376953,67.7300033569336,63.36000061035156,63.93999862670898,67790,0.04082821042721123,380.5,411.1099853515625,380.5,380.5,0,0.0
2021-03-05,69.36000061035156,69.69000244140625,66.66000366210938,67.26000213623047,40754,0.03850589995706988,379.5,380.6300048828125,379.5,379.5,0,-0.002631580466055932
2021-03-08,68.23999786376953,71.36000061035156,67.80999755859375,69.9000015258789,37511,-0.016279469393293035,376.0,381.0820007324219,380.25,380.5,0,-0.009265453445790123
2021-03-09,67.5199966430664,69.31999969482422,67.13999938964844,68.0999984741211,30989,-0.01060707130867429,380.0,380.0,380.0,380.0,0,0.010582109330537008
2021-03-10,67.9000015258789,68.43000030517578,66.5199966430664,67.33000183105469,37089,0.0056122564670115565,379.5,380.3399963378906,379.5,379.5,0,-0.001316655884746785
2021-03-11,69.62999725341797,69.83000183105469,68.0,68.26000213623047,30629,0.025159412471977827,380.0,411.3500061035156,377.0,380.0,0,0.0013166558847469028
2021-03-12,69.22000122070312,69.9000015258789,69.02999877929688,69.58999633789062,27364,-0.005905613666751599,380.5,380.75,378.0,380.5,0,0.001314924581309022
2021-03-15,68.87999725341797,70.0199966430664,67.83000183105469,69.12000274658203,30212,-0.00492403559772953,380.5,381.0580139160156,380.5,381.0580139160156,0,0.0
2021-03-16,68.38999938964844,68.95999908447266,67.36000061035156,68.86000061035156,27321,-0.007139214059158822,380.5,380.5499877929688,377.0,380.5,0,0.0
2021-03-17,68.0,68.87999725341797,66.95999908447266,68.38999938964844,37607,-0.005718901009324729,376.0,379.5,379.5,379.5,0,-0.011897033911846055
2021-03-18,63.27999877929688,68.1500015258789,61.41999816894531,67.93000030517578,61688,-0.07193840100721283,380.58599853515625,381.0,378.0,380.5499877929688,0,0.01212302292146596
2021-03-19,64.52999877929688,64.9000015258789,62.08000183105469,62.83000183105469,54241,0.019560908862023073,380.0,409.8699951171875,380.0,380.0,0,-0.0015409135909289686
